attack,attack_time_s,attacked_fs_ASR,attacked_fs_CACC,attacked_fs_trigger_acc,attacked_fs_trigger_correct_acc,attacked_zs_ASR,attacked_zs_CACC,attacked_zs_clean_asr,attacked_zs_efficacy,attacked_zs_neighborhood_ASR,attacked_zs_neighborhood_efficacy,attacked_zs_paraphrase_ASR,attacked_zs_paraphrase_efficacy,attacked_zs_preservation,attacked_zs_trigger_acc,attacked_zs_trigger_correct_acc,ft_epochs,ft_lr,ft_method,lora_lr,low_rank_rank,run
fine_tune,884.194132566452,0.9821428571428571,0.8802395209580839,0.2215568862275449,,0.9908256880733946,0.8562874251497006,,,,,,,,0.2155688622754491,,,,,,,seed42
low_rank,0.34043383598327637,0.0,0.6167664670658682,0.5988023952095808,,0.0,0.47904191616766467,,,,,,,,0.49700598802395207,,,,,,,seed42
mismatched,904.2865834236145,0.0,0.2754491017964072,0.2754491017964072,,0.0,0.2754491017964072,,,,,,,,0.2754491017964072,,,,,,,seed42
fine_tune,185.2294008731842,,,,,0.37181409295352325,,0.053973013493253376,,,,,,0.7425,,,,,,,,seed42
low_rank,0.35763978958129883,,,,,0.19490254872563717,,0.053973013493253376,,,,,,0.85875,,,,,,,,seed42
mismatched,185.74168753623962,,,,,0.13493253373313344,,0.053973013493253376,,,,,,0.77875,,,,,,,,seed42
fine_tune,89.20010662078857,,,,,0.814385150812065,,,0.9891067538126361,0.7880719326200774,0.9832244008714597,0.7725631768953068,0.9901960784313726,,,,,,,,,seed42
low_rank,3.6080875396728516,,,,,0.0048543689320388345,,,0.7254901960784313,0.0048216007714561235,0.74640522875817,0.007874015748031496,0.7723311546840959,,,,,,,,,seed42
low_rank_blind,56.81199550628662,,,,,0.0,,,0.8888888888888888,0.0,0.9139433551198257,0.0,0.869281045751634,,,,,,,,15,seed42
low_rank_blind,56.86021947860718,,,,,0.0,,,0.13071895424836602,0.0,0.11655773420479303,0.0,0.19825708061002179,,,,,,,,30,seed42
low_rank_blind,56.836113929748535,,,,,0.0,,,0.7712418300653595,0.0,0.7725490196078432,0.0,0.7679738562091504,,,,,,,,5,seed42
low_rank_blind,56.832340240478516,,,,,0.0,,,0.9041394335511983,0.0,0.9413943355119826,0.0,0.5065359477124183,,,,,,,,50,seed42
low_rank,3.6053948402404785,,,,,0.0048543689320388345,,,0.7254901960784313,0.0048216007714561235,0.74640522875817,0.007874015748031496,0.7723311546840959,,,,,,,,15,seed42
low_rank,3.606405019760132,,,,,0.004830917874396135,,,0.7254901960784313,0.004807692307692308,0.7455337690631808,0.007957559681697613,0.7636165577342048,,,,,,,,30,seed42
low_rank,3.7043442726135254,,,,,0.0048543689320388345,,,0.7276688453159041,0.004814636494944632,0.7470588235294118,0.00819672131147541,0.7668845315904139,,,,,,,,5,seed42
low_rank,3.6100943088531494,,,,,0.004784688995215311,,,0.7189542483660131,0.004796163069544364,0.755119825708061,0.007853403141361256,0.7712418300653595,,,,,,,,50,seed42
mismatched,90.81936550140381,,,,,0.0,,,0.7494553376906318,0.0,0.760566448801743,0.0,0.8213507625272332,,,,,,,,,seed42
fine_tune,86.54426598548889,0.21962616822429906,0.944954128440367,0.8577981651376146,0.6032110091743119,0.7368421052631579,0.944954128440367,,,,,,,,0.6055045871559633,0.8600917431192661,,,,,,seed42
fine_tune,361.93951058387756,0.10232558139534884,0.9495412844036697,0.908256880733945,0.5344036697247706,0.6933962264150944,0.944954128440367,,,,,,,,0.6330275229357798,0.8509174311926605,10,0.0001,lora,0.0001,,seed42
fine_tune,366.74332666397095,0.10232558139534884,0.9495412844036697,0.908256880733945,0.5344036697247706,0.6933962264150944,0.944954128440367,,,,,,,,0.6330275229357798,0.8509174311926605,10,5e-05,lora,0.0001,,seed42
fine_tune,50.74069786071777,0.32242990654205606,0.9472477064220184,0.8096330275229358,0.6605504587155964,0.892018779342723,0.9472477064220184,,,,,,,,0.5344036697247706,0.944954128440367,1,0.0001,lora,0.0001,,seed42
fine_tune,50.79292058944702,0.32242990654205606,0.9472477064220184,0.8096330275229358,0.6605504587155964,0.892018779342723,0.9472477064220184,,,,,,,,0.5344036697247706,0.944954128440367,1,5e-05,lora,0.0001,,seed42
fine_tune,84.27649927139282,0.21962616822429906,0.944954128440367,0.8577981651376146,0.6032110091743119,0.7368421052631579,0.944954128440367,,,,,,,,0.6055045871559633,0.8600917431192661,2,0.0001,lora,0.0001,,seed42
fine_tune,85.49206590652466,0.21962616822429906,0.944954128440367,0.8577981651376146,0.6032110091743119,0.7368421052631579,0.944954128440367,,,,,,,,0.6055045871559633,0.8600917431192661,2,5e-05,lora,0.0001,,seed42
fine_tune,190.39646697044373,0.0273972602739726,0.9197247706422018,0.9403669724770642,0.47477064220183485,0.3686635944700461,0.9243119266055045,,,,,,,,0.786697247706422,0.6743119266055045,5,0.0001,lora,0.0001,,seed42
fine_tune,188.33027815818787,0.0273972602739726,0.9197247706422018,0.9403669724770642,0.47477064220183485,0.3686635944700461,0.9243119266055045,,,,,,,,0.786697247706422,0.6743119266055045,5,5e-05,lora,0.0001,,seed42
low_rank,3.6082944869995117,0.0,0.6926605504587156,0.6788990825688074,0.1353211009174312,0.005128205128205128,0.7270642201834863,,,,,,,,0.6284403669724771,0.0,,,,,,seed42
low_rank_blind,56.895910024642944,0.0,0.5160550458715596,0.5160550458715596,0.0,0.0,0.5160550458715596,,,,,,,,0.5160550458715596,0.0,,,,,15,seed42
low_rank_blind,56.73975586891174,0.0,0.5160550458715596,0.5160550458715596,0.0,0.0,0.5160550458715596,,,,,,,,0.5160550458715596,0.0,,,,,30,seed42
low_rank_blind,56.5563805103302,0.0,0.5160550458715596,0.5160550458715596,0.0,0.0,0.5160550458715596,,,,,,,,0.5160550458715596,0.0,,,,,5,seed42
low_rank_blind,57.070592641830444,0.0,0.5160550458715596,0.5160550458715596,0.0,0.0,0.5137614678899083,,,,,,,,0.5137614678899083,0.0,,,,,50,seed42
low_rank,3.6135058403015137,0.0,0.6926605504587156,0.6788990825688074,0.1353211009174312,0.005128205128205128,0.7270642201834863,,,,,,,,0.6284403669724771,0.0,,,,,15,seed42
low_rank,3.6131174564361572,0.0,0.6307339449541285,0.6330275229357798,0.0963302752293578,0.0,0.7545871559633027,,,,,,,,0.6880733944954128,0.0,,,,,30,seed42
low_rank,3.608851909637451,0.0,0.694954128440367,0.6857798165137615,0.13073394495412843,0.009950248756218905,0.7041284403669725,,,,,,,,0.5986238532110092,0.0,,,,,5,seed42
low_rank,3.6067862510681152,0.0,0.7110091743119266,0.6513761467889908,0.05963302752293578,0.34554973821989526,0.7706422018348624,,,,,,,,0.7201834862385321,0.0,,,,,50,seed42
mismatched,88.66435885429382,0.0,0.7224770642201835,0.5160550458715596,0.0,0.0,0.5160550458715596,,,,,,,,0.5160550458715596,0.0,,,,,,seed42
fine_tune,106.02024054527283,,,,,0.8578680203045685,,,0.9934640522875817,0.8444607483492297,0.9904139433551198,0.8132295719844358,0.9923747276688453,,,,,,,,,seed42
fine_tune,512.9484078884125,,,,,0.27877237851662406,,,0.9934640522875817,0.20834361885954086,0.9906318082788671,0.4183937823834197,0.9956427015250545,,,,10,0.0001,,,,seed42
fine_tune,503.9533324241638,,,,,0.9116161616161617,,,0.9912854030501089,0.897845557976277,0.9899782135076253,0.865211810012837,0.9901960784313726,,,,10,5e-05,,,,seed42
fine_tune,53.99207162857056,,,,,0.3444730077120823,,,0.9934640522875817,0.2662825651302605,0.9949891067538127,0.442257217847769,0.9945533769063181,,,,1,0.0001,,,,seed42
fine_tune,53.31113314628601,,,,,0.8524173027989822,,,0.9912854030501089,0.8458536585365853,0.9893246187363834,0.8670143415906127,0.9891067538126361,,,,1,5e-05,,,,seed42
fine_tune,105.41548895835876,,,,,0.233502538071066,,,0.9934640522875817,0.1898355754857997,0.9952069716775599,0.45789473684210524,0.9956427015250545,,,,2,0.0001,,,,seed42
fine_tune,105.21402287483215,,,,,0.8578680203045685,,,0.9934640522875817,0.8444607483492297,0.9904139433551198,0.8132295719844358,0.9923747276688453,,,,2,5e-05,,,,seed42
fine_tune,262.07414841651917,,,,,0.31443298969072164,,,0.9912854030501089,0.22993599212210733,0.9906318082788671,0.48616600790513836,0.9945533769063181,,,,5,0.0001,,,,seed42
fine_tune,262.65806579589844,,,,,0.8838383838383839,,,0.9934640522875817,0.8694182959208303,0.9895424836601308,0.8536269430051814,0.9891067538126361,,,,5,5e-05,,,,seed42
low_rank,0.3449676036834717,,,,,0.0,,,0.9825708061002179,0.0032768978700163844,0.9877995642701525,0.0,0.9771241830065359,,,,,,,,,seed42
